Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New_Apg_VA,Chrome 71.0.3578.98,,2019-01-30 10:42:25,2019-01-30 10:44:04,1m - 38.644s,PASSED
,,,,,,
Test Cases/Web UAT/Login UAT,Chrome 71.0.3578.98,,2019-01-30 10:42:26,2019-01-30 10:42:56,29.827s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 10:42:26,2019-01-30 10:42:33,6.274s,PASSED
"Statement - autoit_prj = ""D:\Katalon\Authentication_Custom.exe""",Chrome 71.0.3578.98,,2019-01-30 10:42:33,2019-01-30 10:42:33,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 71.0.3578.98,,2019-01-30 10:42:33,2019-01-30 10:42:33,0.064s,PASSED
Statement - java.lang.Thread.sleep(500),Chrome 71.0.3578.98,,2019-01-30 10:42:33,2019-01-30 10:42:33,0.509s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 10:42:33,2019-01-30 10:42:42,8.850s,PASSED
Statement - For (def index : (0..0)),Chrome 71.0.3578.98,,2019-01-30 10:42:42,2019-01-30 10:42:42,0.002s,NOT_RUN
click,Chrome 71.0.3578.98,,2019-01-30 10:42:42,2019-01-30 10:42:42,0.002s,NOT_RUN
delay,Chrome 71.0.3578.98,,2019-01-30 10:42:42,2019-01-30 10:42:44,2.058s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:42:44,2019-01-30 10:42:48,3.465s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-30 10:42:48,2019-01-30 10:42:48,0.637s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2019-01-30 10:42:48,2019-01-30 10:42:49,0.548s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:42:49,2019-01-30 10:42:56,6.989s,PASSED
,,,,,,
Test Cases/Web UAT/Search,Chrome 71.0.3578.98,,2019-01-30 10:42:56,2019-01-30 10:43:08,11.935s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-30 10:42:56,2019-01-30 10:42:56,0.002s,NOT_RUN
navigateToUrl,Chrome 71.0.3578.98,,2019-01-30 10:42:56,2019-01-30 10:42:56,0.007s,NOT_RUN
setText,Chrome 71.0.3578.98,,2019-01-30 10:42:56,2019-01-30 10:42:57,0.468s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:42:57,2019-01-30 10:43:08,11.230s,PASSED
,,,,,,
Test Cases/Web UAT/add_to_cart,Chrome 71.0.3578.98,,2019-01-30 10:43:08,2019-01-30 10:43:11,2.486s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:43:08,2019-01-30 10:43:09,0.252s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 10:43:09,2019-01-30 10:43:11,2.002s,PASSED
,,,,,,
Test Cases/Web UAT/cart,Chrome 71.0.3578.98,,2019-01-30 10:43:11,2019-01-30 10:43:14,3.575s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:43:11,2019-01-30 10:43:14,3.350s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 10:43:14,2019-01-30 10:43:14,0.037s,PASSED
,,,,,,
Test Cases/Web UAT/checkout,Chrome 71.0.3578.98,,2019-01-30 10:43:14,2019-01-30 10:43:44,29.449s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:43:14,2019-01-30 10:43:19,4.693s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 10:43:19,2019-01-30 10:43:29,10.003s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:43:29,2019-01-30 10:43:29,0.139s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 10:43:29,2019-01-30 10:43:34,5.004s,PASSED
Statement - noOrder = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/New Apg/TEMP_ORDER/noOrder2)),Chrome 71.0.3578.98,,2019-01-30 10:43:34,2019-01-30 10:43:44,9.351s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 10:43:44,2019-01-30 10:43:44,0.001s,PASSED
Statement - noOrder = noOrder,Chrome 71.0.3578.98,,2019-01-30 10:43:44,2019-01-30 10:43:44,0.000s,PASSED
Statement - println(noOrder),Chrome 71.0.3578.98,,2019-01-30 10:43:44,2019-01-30 10:43:44,0.000s,PASSED
,,,,,,
Test Cases/Web UAT/virtual_account,Chrome 71.0.3578.98,,2019-01-30 10:43:44,2019-01-30 10:44:03,19.676s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:43:44,2019-01-30 10:43:44,0.287s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-30 10:43:44,2019-01-30 10:43:47,3.006s,PASSED
click,Chrome 71.0.3578.98,,2019-01-30 10:43:47,2019-01-30 10:44:03,16.134s,PASSED
