Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,Chrome 72.0.3626.81,,2019-01-31 15:46:39,2019-01-31 15:47:09,30.416s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC001_Verify Login For All Cases,Chrome 72.0.3626.81,,2019-01-31 15:46:39,2019-01-31 15:46:54,14.968s,PASSED
Start setup action : Setup,Chrome 72.0.3626.81,,2019-01-31 15:46:39,2019-01-31 15:46:51,12.034s,PASSED
click,Chrome 72.0.3626.81,Click Sign in Masuk/Daftar,2019-01-31 15:46:51,2019-01-31 15:46:52,0.982s,PASSED
callTestCase,Chrome 72.0.3626.81,Call Login function,2019-01-31 15:46:52,2019-01-31 15:46:53,0.845s,PASSED
Statement - switch (var_statusExpectedResult.toString()),Chrome 72.0.3626.81,Get Status expected test case result,2019-01-31 15:46:53,2019-01-31 15:46:53,0.119s,PASSED
Start tear down : Teardown,Chrome 72.0.3626.81,,2019-01-31 15:46:53,2019-01-31 15:46:54,0.929s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC001_Verify Login For All Cases,Chrome 72.0.3626.81,,2019-01-31 15:46:54,2019-01-31 15:47:09,14.892s,FAILED
Start setup action : Setup,Chrome 72.0.3626.81,,2019-01-31 15:46:54,2019-01-31 15:47:03,8.449s,PASSED
click,Chrome 72.0.3626.81,Click Sign in Masuk/Daftar,2019-01-31 15:47:03,2019-01-31 15:47:03,0.586s,PASSED
callTestCase,Chrome 72.0.3626.81,Call Login function,2019-01-31 15:47:03,2019-01-31 15:47:08,4.897s,PASSED
Statement - switch (var_statusExpectedResult.toString()),Chrome 72.0.3626.81,Get Status expected test case result,2019-01-31 15:47:08,2019-01-31 15:47:08,0.079s,FAILED
Start tear down : Teardown,Chrome 72.0.3626.81,,2019-01-31 15:47:08,2019-01-31 15:47:09,0.855s,PASSED
